Dataset	ScanNumber	Ion Injection Time (ms)	Scan Event	Elapsed Scan Time (sec)	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
206281	234	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.14
206281	235	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.12
206281	236	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.12
206281	237	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.12
206281	238	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.12
206281	239	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.12
206281	240	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.12
206281	241	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.12
206281	242	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.12
206281	243	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.12
206281	244	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.13
206281	245	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.13
206281	246	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.13
206281	247	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.13
206281	248	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.13
206281	249	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.13
206281	250	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.13
206281	251	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.13
206281	252	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.15
206281	253	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.15
206281	254	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.15
206281	255	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.15
206281	256	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.15
206281	257	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.15
206281	258	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.15
