Dataset	ScanNumber	Ion Injection Time (ms)	Analyzer Temperature	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	PS Inj. Time (ms)	Analog Input 1 (V)	Analog Input 2 (V)	Scan Filter Text
301469	18	100.000	30.60	67831358.3507	-15925987.5876	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	19	100.000	30.60	67831357.8026	-15925987.3286	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	20	100.000	30.60	67831357.8305	-15925987.3425	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	21	100.000	30.60	67831358.1560	-15925987.4947	-5.07	-0.07	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	22	100.000	30.60	67831356.2965	-15925986.6218	-5.07	-0.08	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	23	100.000	30.60	67831357.5959	-15925987.2318	-5.07	-0.07	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	24	100.000	30.60	67831357.5418	-15925987.2067	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	25	100.000	30.60	67831356.2185	-15925986.5861	-5.07	-0.08	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	26	100.000	30.60	67831356.9959	-15925986.9500	-5.07	-0.08	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	27	100.000	30.60	67831357.0412	-15925986.9719	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	28	100.000	30.60	67831357.3458	-15925987.1152	-5.07	-0.07	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	29	100.000	30.60	67831356.3850	-15925986.6639	-5.07	-0.08	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	30	100.000	30.60	67831356.3728	-15925986.6571	-5.07	-0.08	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
