Dataset	ScanNumber	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
407579	696	0.056	1.78	1	410.5250	ITMS + p NSI Z ms [150.00-2000.00]	2.26	0.55
407579	697	0.057	1.78	1	410.5068	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	698	0.053	1.78	1	410.5324	ITMS + p NSI Z ms [150.00-2000.00]	2.26	0.57
407579	699	0.056	1.78	1	410.5114	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	700	0.058	1.78	1	410.5128	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	701	0.054	1.78	1	410.5024	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	702	0.051	1.78	1	410.5164	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	703	0.047	1.78	1	410.5151	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	704	0.050	1.78	1	410.5149	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	705	0.056	1.78	1	410.4991	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	706	0.052	1.78	1	410.5091	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	707	0.058	1.78	1	410.5358	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	708	0.056	1.78	1	410.5270	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	709	0.054	1.78	1	410.5328	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.46
407579	710	0.056	1.78	1	410.5431	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	711	0.050	1.78	1	410.4929	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.55
407579	712	0.060	1.78	1	410.5109	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.53
407579	713	0.063	1.78	1	410.5353	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	714	0.061	1.78	1	410.4819	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	715	0.064	1.78	1	410.5203	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	716	0.069	1.78	1	410.5480	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	717	0.065	1.78	1	410.5430	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	718	0.066	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	719	0.073	1.78	1	410.5355	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	720	0.071	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.42
407579	721	0.074	1.78	1	410.5353	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	722	0.075	1.78	1	410.4916	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.46
407579	723	0.075	1.78	1	410.5148	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.46
407579	724	0.076	1.78	1	410.5328	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.49
407579	725	0.066	1.78	1	410.5127	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.53
407579	726	0.074	1.78	1	410.5164	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	727	0.073	1.78	1	410.5062	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	728	0.080	1.78	1	410.4980	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	729	0.090	1.78	1	410.5411	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	730	0.080	1.78	1	410.5112	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	731	0.088	1.78	1	410.5092	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	732	0.091	1.78	1	410.5065	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	733	0.081	1.78	1	410.5549	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	734	0.096	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	735	0.093	1.78	1	410.5142	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	736	0.095	1.78	1	410.4926	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	737	0.091	1.78	1	410.5505	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.48
407579	738	0.085	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.48
407579	739	0.092	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.49
407579	740	0.080	1.78	1	410.4782	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.52
407579	741	0.095	1.78	1	410.4920	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.57
407579	742	0.093	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.24	0.46
407579	743	0.083	1.78	1	222.9952	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.51
407579	744	0.090	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.52
407579	745	0.096	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.55
407579	746	0.090	1.78	1	410.4807	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	747	0.092	1.78	1	410.4929	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	748	0.085	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	749	0.096	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	750	0.090	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	751	0.081	1.78	1	222.9222	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	752	0.086	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	753	0.098	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.42
407579	754	0.099	1.78	1	410.5103	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	755	0.101	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	756	0.094	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	757	0.100	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.51
407579	758	0.095	1.78	1	410.4938	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.48
407579	759	0.094	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	760	0.094	1.78	1	223.0108	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.51
407579	761	0.097	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.57
407579	762	0.096	1.78	1	410.4771	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	763	0.096	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	764	0.096	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	765	0.096	1.78	1	195.0491	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	766	0.092	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	767	0.096	1.78	1	363.0818	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	768	0.090	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	769	0.092	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	770	0.089	1.78	1	223.0570	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	771	0.090	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	772	0.089	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.26	0.50
407579	773	0.096	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.52
407579	774	0.088	1.78	1	223.0090	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.51
407579	775	0.089	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	776	0.089	1.78	1	223.0482	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	777	0.082	1.78	1	222.9857	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	778	0.088	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	779	0.094	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	780	0.089	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	781	0.087	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	782	0.090	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	783	0.094	1.78	3	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	784	0.096	1.78	1	195.0255	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.46
407579	785	0.096	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.51
407579	786	0.094	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.48
407579	787	0.088	1.78	1	223.0038	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.53
407579	788	0.088	1.78	1	410.5125	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.57
407579	789	0.086	1.78	1	363.0732	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	790	0.086	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	791	0.073	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	792	0.080	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	793	0.073	1.78	1	282.2429	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	794	0.073	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	795	0.068	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	796	0.071	1.78	1	282.2054	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	797	0.075	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	798	0.071	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	799	0.063	1.78	1	223.0769	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	800	0.075	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.49
407579	801	0.075	1.78	1	563.2315	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.49
407579	802	0.069	1.78	1	563.0216	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	803	0.069	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.24	0.39
407579	804	0.070	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	805	0.070	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	806	0.069	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	807	0.062	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	808	0.073	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	809	0.072	1.78	1	563.0602	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	810	0.074	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	811	0.075	1.78	1	282.2575	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	812	0.075	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.49
407579	813	0.073	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	814	0.074	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.52
407579	815	0.080	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	816	0.071	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	817	0.066	1.78	1	282.2554	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	818	0.085	1.78	1	195.1052	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	819	0.085	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	820	0.079	1.78	1	282.2578	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	821	0.086	1.78	1	223.0263	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	822	0.082	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	823	0.081	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	824	0.083	1.78	1	223.0265	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.42
407579	825	0.089	1.78	1	223.0274	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.49
407579	826	0.083	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	827	0.082	1.78	1	223.0338	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	828	0.082	1.78	1	223.0101	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	829	0.074	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.53
407579	830	0.083	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	831	0.090	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	832	0.072	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.31
407579	833	0.068	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	834	0.070	1.78	1	223.0056	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	835	0.077	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	836	0.089	1.78	1	363.0375	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	837	0.080	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	838	0.087	1.78	1	223.0885	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	839	0.093	1.78	1	195.0365	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.42
407579	840	0.091	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.48
407579	841	0.076	1.78	1	222.9902	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	842	0.077	1.78	1	223.0440	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	843	0.084	1.78	1	223.0460	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.51
407579	844	0.095	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	845	0.094	1.78	1	223.0915	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	846	0.100	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	847	0.092	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	848	0.085	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	849	0.090	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	850	0.097	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	851	0.093	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	852	0.088	1.78	1	223.0740	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.37
407579	853	0.094	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	854	0.079	1.78	1	222.9975	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	855	0.095	1.78	1	223.0261	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	856	0.094	1.78	1	195.0914	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.46
407579	857	0.096	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	858	0.086	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	859	0.086	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.55
407579	860	0.075	1.78	1	223.1348	ITMS + p NSI Z ms [150.00-2000.00]	2.26	0.52
407579	861	0.090	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	862	0.089	1.78	1	223.0500	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.32
407579	863	0.086	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	864	0.078	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	865	0.075	1.78	1	223.0569	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	866	0.089	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	867	0.090	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	868	0.082	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	869	0.086	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	870	0.087	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	871	0.086	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.48
407579	872	0.087	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	873	0.091	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	874	0.090	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	875	0.091	1.78	1	627.8467	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	876	0.095	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	877	0.095	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	878	0.085	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	879	0.083	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	880	0.082	1.78	3	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	881	0.084	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	882	0.089	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	883	0.085	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.46
407579	884	0.077	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	885	0.079	1.78	1	391.1745	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	886	0.090	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.52
407579	887	0.087	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	888	0.071	1.78	1	391.0054	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	889	0.085	1.78	1	390.9998	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.33
407579	890	0.081	1.78	1	391.0720	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.33
407579	891	0.087	1.78	1	391.1183	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	892	0.074	1.78	1	391.0792	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	893	0.077	1.78	1	391.0643	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	894	0.069	1.78	1	391.0919	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.42
407579	895	0.083	1.78	1	391.1396	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	896	0.078	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	897	0.078	1.78	1	391.1701	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.51
407579	898	0.067	1.78	1	391.1479	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.51
407579	899	0.067	1.78	1	391.1116	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	900	0.068	1.78	1	391.1548	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	901	0.064	1.78	1	391.1136	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	902	0.061	1.78	1	390.9634	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	903	0.060	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	904	0.058	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	905	0.058	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	906	0.054	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	907	0.057	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	908	0.058	1.78	1	391.1126	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.46
407579	909	0.056	1.78	1	391.0969	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	910	0.050	1.78	1	390.9909	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.49
407579	911	0.057	1.78	1	391.0338	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	912	0.050	1.78	1	391.1816	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	913	0.053	1.78	1	391.0500	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.32
407579	914	0.054	1.78	1	391.1093	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.33
407579	915	0.049	1.78	1	391.0147	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	916	0.054	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	917	0.047	1.78	1	391.1086	ITMS + p NSI Z ms [150.00-2000.00]	2.26	0.35
407579	918	0.045	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	919	0.050	1.78	1	390.9745	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	920	0.051	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	921	0.054	1.78	1	391.0988	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	922	0.050	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	923	0.053	1.78	1	391.0822	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	924	0.053	1.78	1	390.9962	ITMS + p NSI Z ms [150.00-2000.00]	2.26	0.52
407579	925	0.053	1.78	1	391.0255	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	926	0.052	1.78	1	390.9861	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	927	0.055	1.78	1	391.1425	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	928	0.053	1.78	1	391.0066	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	929	0.055	1.78	1	391.1114	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	930	0.054	1.78	1	391.1059	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	931	0.050	1.78	1	391.0072	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	932	0.058	1.78	1	388.1299	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.40
407579	933	0.052	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.41
407579	934	0.056	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	935	0.050	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.45
407579	936	0.053	1.78	1	388.1964	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.48
407579	937	0.056	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.54
407579	938	0.060	1.78	1	388.0523	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	939	0.060	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	940	0.058	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	941	0.061	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	942	0.064	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	943	0.063	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	944	0.064	1.78	1	388.0927	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	945	0.066	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	946	0.070	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	947	0.069	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.44
407579	948	0.071	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.47
407579	949	0.065	1.78	1	223.0524	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.46
407579	950	0.068	1.78	1	222.9857	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.52
407579	951	0.068	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	952	0.068	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	953	0.073	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	954	0.061	1.78	1	391.1600	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	955	0.070	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.33
407579	956	0.077	1.78	1	701.7925	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.36
407579	957	0.065	1.78	1	195.0702	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.39
407579	958	0.070	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.42
407579	959	0.075	1.78	4	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	960	0.073	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.43
407579	961	0.080	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.26	0.50
407579	962	0.073	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.50
407579	963	0.076	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	964	0.073	1.78	1	195.0712	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	965	0.078	1.78	1	701.8476	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	966	0.082	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	967	0.076	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.34
407579	968	0.086	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.35
407579	969	0.083	1.78	5	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.38
407579	970	0.084	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.42
