Dataset	ScanNumber	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
407579	36	0.235	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	37	0.220	1.78	1	223.0217	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	38	0.274	1.78	1	223.0845	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.67
407579	39	0.302	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.71
407579	40	0.280	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.75
407579	41	0.298	1.78	1	223.0574	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.78
407579	42	0.279	1.78	1	223.0474	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.79
407579	43	0.287	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.83
407579	44	0.289	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.81
407579	45	0.278	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.84
407579	46	0.261	1.78	1	223.0267	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.83
407579	47	0.275	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	48	0.289	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.24	0.72
407579	49	0.274	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	50	0.270	1.78	1	223.0174	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.71
407579	51	0.290	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	52	0.280	1.78	1	222.9051	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	53	0.270	1.78	1	223.0631	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	54	0.252	1.78	1	223.0038	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	55	0.251	1.78	1	223.0592	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	56	0.261	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.76
407579	57	0.247	1.78	1	223.0360	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.78
407579	58	0.278	1.78	1	223.0419	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.83
407579	59	0.278	1.78	1	223.0820	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.83
407579	60	0.273	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.82
407579	61	0.257	1.78	1	223.0668	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.67
407579	62	0.254	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	63	0.266	1.78	1	223.0845	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	64	0.278	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	65	0.253	1.78	1	223.0349	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	66	0.249	1.78	1	223.0413	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	67	0.249	1.78	1	223.0114	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	68	0.295	1.78	1	222.9682	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	69	0.287	1.78	1	223.0565	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.79
407579	70	0.278	1.78	1	223.0584	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.79
407579	71	0.248	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.79
407579	72	0.252	1.78	1	223.0432	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.83
407579	73	0.285	1.78	1	223.0189	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.87
407579	74	0.266	1.78	1	222.8861	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	75	0.234	1.78	1	223.0602	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	76	0.274	1.78	1	223.0101	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	77	0.264	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	78	0.275	1.78	1	223.1094	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	79	0.273	1.78	1	223.0899	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	80	0.255	1.78	1	223.0059	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.71
407579	81	0.254	1.78	1	223.0447	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	82	0.248	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	83	0.170	1.78	1	222.9498	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	84	0.262	1.78	1	223.0788	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.76
407579	85	0.259	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.82
407579	86	0.241	1.78	1	222.9926	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.82
407579	87	0.247	1.78	1	223.0511	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.79
407579	88	0.268	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.69
407579	89	0.269	1.78	1	223.0816	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	90	0.251	1.78	1	222.9258	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	91	0.248	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	92	0.244	1.78	1	223.0727	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	93	0.278	1.78	1	223.0179	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.67
407579	94	0.200	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	95	0.261	1.78	1	223.0368	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.71
407579	96	0.273	1.78	1	223.0493	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	97	0.269	1.78	0	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.75
407579	98	0.267	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.74
407579	99	0.259	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.78
407579	100	0.243	1.78	1	223.0509	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.78
407579	101	0.268	1.78	1	223.0678	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.83
407579	102	0.281	1.78	1	223.0501	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	103	0.269	1.78	1	222.8939	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	104	0.234	1.78	1	223.0616	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	105	0.255	1.78	1	222.9492	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	106	0.245	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	107	0.225	1.78	1	223.0240	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	108	0.224	1.78	1	223.0436	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	109	0.236	1.78	1	223.0207	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	110	0.243	1.78	1	223.0095	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.67
407579	111	0.247	1.78	1	223.0249	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.71
407579	112	0.262	1.78	1	223.0584	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	113	0.274	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.83
407579	114	0.271	1.78	1	223.0850	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.76
407579	115	0.237	1.78	1	223.0401	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.81
407579	116	0.242	1.78	1	223.0032	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	117	0.247	1.78	1	223.0466	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	118	0.235	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	119	0.253	1.78	1	223.0319	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	120	0.276	1.78	1	223.0397	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	121	0.269	1.78	1	223.0505	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	122	0.275	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.26	0.68
407579	123	0.273	1.78	1	223.0129	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.70
407579	124	0.278	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.71
407579	125	0.275	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	126	0.264	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.77
407579	127	0.262	1.78	1	222.9529	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.82
407579	128	0.268	1.78	1	223.0609	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	129	0.255	1.78	1	222.9356	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	130	0.261	1.78	1	223.0185	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	131	0.265	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	132	0.277	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	133	0.259	1.78	1	222.9999	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	134	0.259	1.78	1	223.0337	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	135	0.255	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	136	0.269	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	137	0.270	1.78	1	222.9757	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.69
407579	138	0.271	1.78	1	223.0630	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.67
407579	139	0.252	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	140	0.254	1.78	1	223.0932	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.76
407579	141	0.265	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.76
407579	142	0.187	1.78	1	223.0665	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	143	0.274	1.78	1	223.0581	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	144	0.257	1.78	1	222.9382	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	145	0.258	1.78	1	222.9271	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.56
407579	146	0.250	1.78	1	223.0029	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	147	0.254	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	148	0.260	1.78	1	223.0375	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	149	0.262	1.78	1	222.9695	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	150	0.253	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.69
407579	151	0.237	1.78	1	223.0372	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.69
407579	152	0.257	1.78	1	223.0513	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	153	0.244	1.78	1	223.0386	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.70
407579	154	0.240	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	155	0.262	1.78	1	223.0078	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	156	0.250	1.78	1	222.9639	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	157	0.221	1.78	1	223.0294	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	158	0.241	1.78	1	223.0386	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	159	0.251	1.78	1	222.9941	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	160	0.253	1.78	1	223.0371	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	161	0.252	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	162	0.239	1.78	1	223.0494	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	163	0.251	1.78	1	223.0659	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.69
407579	164	0.232	1.78	1	223.0777	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	165	0.227	1.78	1	223.0209	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	166	0.261	1.78	1	223.0562	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	167	0.249	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.76
407579	168	0.250	1.78	1	223.0043	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.79
407579	169	0.223	1.78	1	223.0574	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	170	0.236	1.78	1	222.9434	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	171	0.221	1.78	1	223.0430	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.57
407579	172	0.225	1.78	1	223.0323	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	173	0.227	1.78	1	223.0654	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	174	0.250	1.78	1	223.0735	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	175	0.231	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	176	0.226	1.78	1	223.0563	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	177	0.228	1.78	1	222.9246	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	178	0.229	1.78	1	223.0440	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	179	0.221	1.78	1	223.0332	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.70
407579	180	0.234	1.78	1	223.0648	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	181	0.244	1.78	1	223.0335	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.79
407579	182	0.249	1.78	1	223.0771	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	183	0.239	1.78	1	223.0471	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	184	0.252	1.78	1	222.9820	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	185	0.270	1.78	1	223.0305	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	186	0.272	1.78	1	222.9965	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	187	0.256	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	188	0.258	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	189	0.257	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
