Dataset	ScanNumber	Ion Injection Time (ms)	Elapsed Scan Time (sec)	RawOvFtT	Injection t0	Scan Filter Text
706511	1	5.910	0.289	288374.8	0.029	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	2	5.907	0.289	289872.4	0.050	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	3	5.199	0.288	259766.4	0.007	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	4	6.100	0.289	299275.1	0.043	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	5	5.738	0.289	250206.7	0.028	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	6	6.045	0.289	249455.8	0.007	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	7	4.877	0.288	208782.2	0.020	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	8	4.897	0.288	227096.0	-0.018	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	9	4.369	0.287	228436.7	-0.057	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706511	10	5.076	0.288	278723.3	0.056	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
