Dataset	ScanNumber	Scan Filter Text	Source Temperature
251367	162	+ c EI Q1MS [50.000-600.000]	249.89
251367	163	+ c EI Q1MS [50.000-600.000]	249.89
251367	164	+ c EI Q1MS [50.000-600.000]	249.89
251367	165	+ c EI Q1MS [50.000-600.000]	249.89
251367	166	+ c EI Q1MS [50.000-600.000]	249.89
251367	167	+ c EI Q1MS [50.000-600.000]	249.89
251367	168	+ c EI Q1MS [50.000-600.000]	250.23
251367	169	+ c EI Q1MS [50.000-600.000]	250.23
251367	170	+ c EI Q1MS [50.000-600.000]	250.23
251367	171	+ c EI Q1MS [50.000-600.000]	250.23
251367	172	+ c EI Q1MS [50.000-600.000]	250.23
251367	173	+ c EI Q1MS [50.000-600.000]	250.23
251367	174	+ c EI Q1MS [50.000-600.000]	250.23
251367	175	+ c EI Q1MS [50.000-600.000]	250.23
251367	176	+ c EI Q1MS [50.000-600.000]	250.20
251367	177	+ c EI Q1MS [50.000-600.000]	250.20
251367	178	+ c EI Q1MS [50.000-600.000]	250.20
251367	179	+ c EI Q1MS [50.000-600.000]	250.20
251367	180	+ c EI Q1MS [50.000-600.000]	250.20
251367	181	+ c EI Q1MS [50.000-600.000]	250.20
251367	182	+ c EI Q1MS [50.000-600.000]	250.20
251367	183	+ c EI Q1MS [50.000-600.000]	249.89
251367	184	+ c EI Q1MS [50.000-600.000]	249.89
251367	185	+ c EI Q1MS [50.000-600.000]	249.89
251367	186	+ c EI Q1MS [50.000-600.000]	249.89
251367	187	+ c EI Q1MS [50.000-600.000]	249.89
251367	188	+ c EI Q1MS [50.000-600.000]	249.89
251367	189	+ c EI Q1MS [50.000-600.000]	249.89
251367	190	+ c EI Q1MS [50.000-600.000]	249.89
251367	191	+ c EI Q1MS [50.000-600.000]	250.14
251367	192	+ c EI Q1MS [50.000-600.000]	250.14
251367	193	+ c EI Q1MS [50.000-600.000]	250.14
251367	194	+ c EI Q1MS [50.000-600.000]	250.14
251367	195	+ c EI Q1MS [50.000-600.000]	250.14
251367	196	+ c EI Q1MS [50.000-600.000]	250.14
251367	197	+ c EI Q1MS [50.000-600.000]	250.14
251367	198	+ c EI Q1MS [50.000-600.000]	249.82
251367	199	+ c EI Q1MS [50.000-600.000]	249.82
251367	200	+ c EI Q1MS [50.000-600.000]	249.82
251367	201	+ c EI Q1MS [50.000-600.000]	249.82
251367	202	+ c EI Q1MS [50.000-600.000]	249.82
251367	203	+ c EI Q1MS [50.000-600.000]	249.82
251367	204	+ c EI Q1MS [50.000-600.000]	249.82
251367	205	+ c EI Q1MS [50.000-600.000]	249.82
251367	206	+ c EI Q1MS [50.000-600.000]	249.67
251367	207	+ c EI Q1MS [50.000-600.000]	249.67
251367	208	+ c EI Q1MS [50.000-600.000]	249.67
251367	209	+ c EI Q1MS [50.000-600.000]	249.67
251367	210	+ c EI Q1MS [50.000-600.000]	249.67
251367	211	+ c EI Q1MS [50.000-600.000]	249.67
251367	212	+ c EI Q1MS [50.000-600.000]	249.67
251367	213	+ c EI Q1MS [50.000-600.000]	250.10
251367	214	+ c EI Q1MS [50.000-600.000]	250.10
251367	215	+ c EI Q1MS [50.000-600.000]	250.10
251367	216	+ c EI Q1MS [50.000-600.000]	250.10
251367	217	+ c EI Q1MS [50.000-600.000]	250.10
251367	218	+ c EI Q1MS [50.000-600.000]	250.10
251367	219	+ c EI Q1MS [50.000-600.000]	250.10
251367	220	+ c EI Q1MS [50.000-600.000]	250.10
251367	221	+ c EI Q1MS [50.000-600.000]	250.14
251367	222	+ c EI Q1MS [50.000-600.000]	250.14
251367	223	+ c EI Q1MS [50.000-600.000]	250.14
251367	224	+ c EI Q1MS [50.000-600.000]	250.14
251367	225	+ c EI Q1MS [50.000-600.000]	250.14
251367	226	+ c EI Q1MS [50.000-600.000]	250.14
251367	227	+ c EI Q1MS [50.000-600.000]	250.14
251367	228	+ c EI Q1MS [50.000-600.000]	250.26
251367	229	+ c EI Q1MS [50.000-600.000]	250.26
251367	230	+ c EI Q1MS [50.000-600.000]	250.26
251367	231	+ c EI Q1MS [50.000-600.000]	250.26
251367	232	+ c EI Q1MS [50.000-600.000]	250.26
251367	233	+ c EI Q1MS [50.000-600.000]	250.26
251367	234	+ c EI Q1MS [50.000-600.000]	250.26
251367	235	+ c EI Q1MS [50.000-600.000]	250.26
251367	236	+ c EI Q1MS [50.000-600.000]	250.10
251367	237	+ c EI Q1MS [50.000-600.000]	250.10
251367	238	+ c EI Q1MS [50.000-600.000]	250.10
251367	239	+ c EI Q1MS [50.000-600.000]	250.10
251367	240	+ c EI Q1MS [50.000-600.000]	250.10
251367	241	+ c EI Q1MS [50.000-600.000]	250.10
251367	242	+ c EI Q1MS [50.000-600.000]	250.10
251367	243	+ c EI Q1MS [50.000-600.000]	249.86
251367	244	+ c EI Q1MS [50.000-600.000]	249.86
251367	245	+ c EI Q1MS [50.000-600.000]	249.86
251367	246	+ c EI Q1MS [50.000-600.000]	249.86
251367	247	+ c EI Q1MS [50.000-600.000]	249.86
251367	248	+ c EI Q1MS [50.000-600.000]	249.86
251367	249	+ c EI Q1MS [50.000-600.000]	249.86
251367	250	+ c EI Q1MS [50.000-600.000]	249.86
251367	251	+ c EI Q1MS [50.000-600.000]	250.10
251367	252	+ c EI Q1MS [50.000-600.000]	250.10
251367	253	+ c EI Q1MS [50.000-600.000]	250.10
251367	254	+ c EI Q1MS [50.000-600.000]	250.10
251367	255	+ c EI Q1MS [50.000-600.000]	250.10
251367	256	+ c EI Q1MS [50.000-600.000]	250.10
251367	257	+ c EI Q1MS [50.000-600.000]	250.10
251367	258	+ c EI Q1MS [50.000-600.000]	250.26
251367	259	+ c EI Q1MS [50.000-600.000]	250.26
251367	260	+ c EI Q1MS [50.000-600.000]	250.26
251367	261	+ c EI Q1MS [50.000-600.000]	250.26
251367	262	+ c EI Q1MS [50.000-600.000]	250.26
251367	263	+ c EI Q1MS [50.000-600.000]	250.26
251367	264	+ c EI Q1MS [50.000-600.000]	250.26
251367	265	+ c EI Q1MS [50.000-600.000]	250.26
251367	266	+ c EI Q1MS [50.000-600.000]	250.01
251367	267	+ c EI Q1MS [50.000-600.000]	250.01
251367	268	+ c EI Q1MS [50.000-600.000]	250.01
251367	269	+ c EI Q1MS [50.000-600.000]	250.01
251367	270	+ c EI Q1MS [50.000-600.000]	250.01
251367	271	+ c EI Q1MS [50.000-600.000]	250.01
251367	272	+ c EI Q1MS [50.000-600.000]	250.01
251367	273	+ c EI Q1MS [50.000-600.000]	250.01
251367	274	+ c EI Q1MS [50.000-600.000]	250.01
251367	275	+ c EI Q1MS [50.000-600.000]	250.01
251367	276	+ c EI Q1MS [50.000-600.000]	250.01
251367	277	+ c EI Q1MS [50.000-600.000]	250.01
251367	278	+ c EI Q1MS [50.000-600.000]	250.01
251367	279	+ c EI Q1MS [50.000-600.000]	250.01
251367	280	+ c EI Q1MS [50.000-600.000]	250.01
251367	281	+ c EI Q1MS [50.000-600.000]	250.14
251367	282	+ c EI Q1MS [50.000-600.000]	250.14
251367	283	+ c EI Q1MS [50.000-600.000]	250.14
251367	284	+ c EI Q1MS [50.000-600.000]	250.14
251367	285	+ c EI Q1MS [50.000-600.000]	250.14
251367	286	+ c EI Q1MS [50.000-600.000]	250.14
251367	287	+ c EI Q1MS [50.000-600.000]	250.14
251367	288	+ c EI Q1MS [50.000-600.000]	250.01
251367	289	+ c EI Q1MS [50.000-600.000]	250.01
251367	290	+ c EI Q1MS [50.000-600.000]	250.01
251367	291	+ c EI Q1MS [50.000-600.000]	250.01
251367	292	+ c EI Q1MS [50.000-600.000]	250.01
251367	293	+ c EI Q1MS [50.000-600.000]	250.01
251367	294	+ c EI Q1MS [50.000-600.000]	250.01
251367	295	+ c EI Q1MS [50.000-600.000]	250.01
251367	296	+ c EI Q1MS [50.000-600.000]	250.23
251367	297	+ c EI Q1MS [50.000-600.000]	250.23
251367	298	+ c EI Q1MS [50.000-600.000]	250.23
251367	299	+ c EI Q1MS [50.000-600.000]	250.23
251367	300	+ c EI Q1MS [50.000-600.000]	250.23
251367	301	+ c EI Q1MS [50.000-600.000]	250.23
251367	302	+ c EI Q1MS [50.000-600.000]	250.23
251367	303	+ c EI Q1MS [50.000-600.000]	250.10
251367	304	+ c EI Q1MS [50.000-600.000]	250.10
251367	305	+ c EI Q1MS [50.000-600.000]	250.10
251367	306	+ c EI Q1MS [50.000-600.000]	250.10
251367	307	+ c EI Q1MS [50.000-600.000]	250.10
251367	308	+ c EI Q1MS [50.000-600.000]	250.10
251367	309	+ c EI Q1MS [50.000-600.000]	250.10
251367	310	+ c EI Q1MS [50.000-600.000]	250.10
251367	311	+ c EI Q1MS [50.000-600.000]	250.48
251367	312	+ c EI Q1MS [50.000-600.000]	250.48
251367	313	+ c EI Q1MS [50.000-600.000]	250.48
251367	314	+ c EI Q1MS [50.000-600.000]	250.48
251367	315	+ c EI Q1MS [50.000-600.000]	250.48
251367	316	+ c EI Q1MS [50.000-600.000]	250.48
251367	317	+ c EI Q1MS [50.000-600.000]	250.48
251367	318	+ c EI Q1MS [50.000-600.000]	250.23
251367	319	+ c EI Q1MS [50.000-600.000]	250.23
251367	320	+ c EI Q1MS [50.000-600.000]	250.23
251367	321	+ c EI Q1MS [50.000-600.000]	250.23
251367	322	+ c EI Q1MS [50.000-600.000]	250.23
251367	323	+ c EI Q1MS [50.000-600.000]	250.23
251367	324	+ c EI Q1MS [50.000-600.000]	250.23
251367	325	+ c EI Q1MS [50.000-600.000]	250.23
