Dataset	ScanNumber	Elapsed Scan Time (sec)	Average Scan by Inst	Micro Scan count	Collision Mode	Scan Filter Text	Source Temperature
232087	50	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.17
232087	51	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.17
232087	52	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.17
232087	53	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.17
232087	54	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.17
232087	55	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.17
232087	56	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.17
232087	57	0.03	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.17
232087	58	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.17
232087	59	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.17
232087	60	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.17
232087	61	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.17
232087	62	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.17
232087	63	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.17
232087	64	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.17
232087	65	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.17
232087	66	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.17
232087	67	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.17
232087	68	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.17
232087	69	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.17
232087	70	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.17
232087	71	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.17
232087	72	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.17
232087	73	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.17
232087	74	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.17
232087	75	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.17
232087	76	0.03	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.17
232087	77	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.17
232087	78	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.17
232087	79	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.17
232087	80	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.17
232087	81	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.17
232087	82	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.17
232087	83	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.17
232087	84	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.17
232087	85	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.17
232087	86	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.17
232087	87	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.17
232087	88	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.17
232087	89	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.17
232087	90	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.17
232087	91	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.17
232087	92	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.17
232087	93	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.17
232087	94	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.17
232087	95	0.02	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.17
232087	96	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.17
232087	97	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.17
232087	98	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.17
232087	99	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.17
232087	100	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.17
232087	101	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.17
232087	102	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.17
232087	103	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.17
232087	104	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.17
232087	105	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.17
232087	106	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.17
232087	107	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.17
232087	108	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.17
232087	109	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.17
232087	110	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.17
232087	111	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.17
232087	112	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.17
232087	113	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.17
232087	114	0.02	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.17
232087	115	0.02	Yes	1		+ c EI SRM ms2 160.000 [72.999-73.001]	249.17
232087	116	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.17
232087	117	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.17
232087	118	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.17
232087	119	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.17
232087	120	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.17
232087	121	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.17
