Dataset	ScanNumber	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
205812	237	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.07
205812	238	36.120	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.07
205812	239	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.07
205812	240	29.308	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	241	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	242	35.301	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	243	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	244	29.753	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	245	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	246	32.304	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.11
205812	247	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	248	25.912	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	249	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	250	25.722	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.11
205812	251	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	252	23.952	2	1	0.13	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	253	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	254	32.706	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	255	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	256	34.799	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	257	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	258	36.946	2	1	0.15	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.20	0.11
205812	259	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	260	40.667	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.11
205812	261	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	262	30.653	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	263	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	264	36.318	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	265	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	266	33.300	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	267	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	268	26.425	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	269	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	270	36.127	2	1	0.15	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.20	0.09
205812	271	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.09
205812	272	34.156	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.19	0.10
205812	273	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.19	0.10
205812	274	35.256	2	1	0.15	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.19	0.10
205812	275	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.19	0.10
205812	276	28.170	2	1	0.14	1	0	ITMS + p NSI d Z ms [158.00-168.00]	2.19	0.10
205812	277	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.19	0.10
205812	278	30.035	2	1	0.14	1	0	ITMS + p NSI d Z ms [157.00-167.00]	2.19	0.10
