Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Orbitrap Resolution	Dependency Type	Master Scan Number	Monoisotopic M/Z	Charge State	HCD Energy	MS2 Isolation Width	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	Resolution Comp. (ppm)	RawOvFtT	Injection t0	Collision Mode	Scan Filter Text	Source Pressure
706505	1	On	1.243	0.147	60000	0	-1	-1.0000	0	-1.00	-1.00	211723524.400384	-151810674.498043	-6.75	-0.64	-0.17	1819934.1	-0.008		FTMS + p ESI Full ms [350.0000-2000.0000]	2.567
706505	2	On	0.017	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723793.266548	-151811060.066939	-6.75	-0.01	-0.17	78302.9	-0.020		FTMS + p ESI Full ms [350.0000-2000.0000]	2.567
706505	3	Predicted	0.485	0.199	30000	1	1	0	3	-25.99	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	789312.7	0.024	hcd	FTMS + c ESI d Full ms2 432.9000@hcd30.00 [100.0000-1309.0000]	2.567
706505	4	Predicted	0.493	0.135	30000	1	1	0	3	-26.01	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	522963.9	0.047	hcd	FTMS + c ESI d Full ms2 433.9022@hcd30.00 [100.0000-1312.0000]	2.567
706505	5	Predicted	8.396	0.251	30000	1	1	0	2	-35.71	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	763172.6	0.038	hcd	FTMS + c ESI d Full ms2 648.8466@hcd30.00 [100.0000-1308.0000]	2.567
706505	6	Predicted	0.513	0.214	30000	1	3	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	584880.1	0.006	etd	FTMS + c ESI d Full ms2 432.9000@etd53.99 [100.0000-1309.0000]	2.567
706505	7	Predicted	0.486	0.180	30000	1	3	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	604423.7	0.008	sa_hcd	FTMS + c ESI d sa Full ms2 432.9000@etd53.99 432.9000@hcd30.00 [100.0000-1309.0000]	2.567
706505	8	Predicted	0.486	0.198	30000	1	3	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	558033.3	-0.021	sa_cid	FTMS + c ESI d sa Full ms2 432.9000@etd53.99 432.9000@cid30.00 [100.0000-1309.0000]	2.567
706505	9	Predicted	0.534	0.177	30000	1	4	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	426084.8	-0.020	etd	FTMS + c ESI d Full ms2 433.9022@etd53.99 [100.0000-1312.0000]	2.567
706505	10	Predicted	0.499	0.180	30000	1	4	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	462169.5	-0.059	sa_hcd	FTMS + c ESI d sa Full ms2 433.9022@etd53.99 433.9022@hcd30.00 [100.0000-1312.0000]	2.564
706505	11	Predicted	0.499	0.197	30000	1	4	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	417080.1	-0.020	sa_cid	FTMS + c ESI d sa Full ms2 433.9022@etd53.99 433.9022@cid30.00 [100.0000-1312.0000]	2.564
706505	12	Predicted	8.860	0.253	30000	1	5	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	419384.6	-0.017	etd	FTMS + c ESI d Full ms2 648.8466@etd121.47 [100.0000-1308.0000]	2.564
706505	13	Predicted	8.160	0.255	30000	1	5	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	399076.7	0.014	sa_hcd	FTMS + c ESI d sa Full ms2 648.8466@etd121.47 648.8466@hcd30.00 [100.0000-1308.0000]	2.564
706505	14	Predicted	8.160	0.262	30000	1	5	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	434434.3	-0.026	sa_cid	FTMS + c ESI d sa Full ms2 648.8466@etd121.47 648.8466@cid30.00 [100.0000-1308.0000]	2.564
706505	15	Predicted	32.591	0.135	30000	1	1	0	2	-29.41	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	794176.8	0	hcd	FTMS + c ESI d Full ms2 513.2823@hcd30.00 [100.0000-1037.0000]	2.564
706505	16	Predicted	8.475	0.135	30000	1	1	0	2	-35.76	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	527709.6	0.035	hcd	FTMS + c ESI d Full ms2 649.8492@hcd30.00 [100.0000-1310.0000]	2.564
706505	17	Predicted	40.974	0.285	30000	1	15	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	432465.0	0	etd	FTMS + c ESI d Full ms2 513.2823@etd121.47 [100.0000-1037.0000]	2.564
706505	18	Predicted	37.954	0.285	30000	1	15	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	472704.0	-0.012	sa_hcd	FTMS + c ESI d sa Full ms2 513.2823@etd121.47 513.2823@hcd30.00 [100.0000-1037.0000]	2.564
706505	19	Predicted	37.954	0.292	30000	1	15	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	477742.5	-0.048	sa_cid	FTMS + c ESI d sa Full ms2 513.2823@etd121.47 513.2823@cid30.00 [100.0000-1037.0000]	2.564
706505	20	Predicted	9.089	0.254	30000	1	16	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	268125.0	-0.042	etd	FTMS + c ESI d Full ms2 649.8492@etd121.47 [100.0000-1310.0000]	2.564
706505	21	Predicted	8.258	0.255	30000	1	16	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	313665.7	0.012	sa_hcd	FTMS + c ESI d sa Full ms2 649.8492@etd121.47 649.8492@hcd30.00 [100.0000-1310.0000]	2.564
706505	22	Predicted	8.258	0.262	30000	1	16	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	324828.8	-0.016	sa_cid	FTMS + c ESI d sa Full ms2 649.8492@etd121.47 649.8492@cid30.00 [100.0000-1310.0000]	2.564
706505	23	On	0.281	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723736.870275	-151810979.194649	-6.75	-0.14	-0.17	578509.6	-0.018		FTMS + p ESI Full ms [350.0000-2000.0000]	2.564
706505	24	Predicted	0.486	0.199	30000	1	2	0	3	-25.99	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	818654.1	0.035	hcd	FTMS + c ESI d Full ms2 432.8995@hcd30.00 [100.0000-1309.0000]	2.564
706505	25	Predicted	0.498	0.135	30000	1	2	0	3	-26.01	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	552663.7	0.050	hcd	FTMS + c ESI d Full ms2 433.9016@hcd30.00 [100.0000-1312.0000]	2.564
706505	26	Predicted	62.675	0.306	30000	1	2	0	2	-36.24	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	1094862.8	0.028	hcd	FTMS + c ESI d Full ms2 659.8361@hcd30.00 [100.0000-1330.0000]	2.564
706505	27	Predicted	0.432	0.235	30000	1	24	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	605736.6	0.014	etd	FTMS + c ESI d Full ms2 432.8995@etd53.99 [100.0000-1309.0000]	2.564
706505	28	Predicted	0.409	0.180	30000	1	24	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	430954.7	-0.006	sa_hcd	FTMS + c ESI d sa Full ms2 432.8995@etd53.99 432.8995@hcd30.00 [100.0000-1309.0000]	2.564
706505	29	Predicted	0.409	0.197	30000	1	24	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	498442.3	-0.008	sa_cid	FTMS + c ESI d sa Full ms2 432.8995@etd53.99 432.8995@cid30.00 [100.0000-1309.0000]	2.564
706505	30	Predicted	0.466	0.177	30000	1	25	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	371074.0	-0.008	etd	FTMS + c ESI d Full ms2 433.9016@etd53.99 [100.0000-1312.0000]	2.564
706505	31	Predicted	0.425	0.180	30000	1	25	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	409095.0	-0.018	sa_hcd	FTMS + c ESI d sa Full ms2 433.9016@etd53.99 433.9016@hcd30.00 [100.0000-1312.0000]	2.564
706505	32	Predicted	0.425	0.197	30000	1	25	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	392402.0	-0.053	sa_cid	FTMS + c ESI d sa Full ms2 433.9016@etd53.99 433.9016@cid30.00 [100.0000-1312.0000]	2.564
706505	33	Predicted	44.534	0.289	30000	1	26	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	393618.8	-0.015	etd	FTMS + c ESI d Full ms2 659.8361@etd121.47 [100.0000-1330.0000]	2.564
706505	34	Predicted	40.970	0.288	30000	1	26	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	416692.7	-0.006	sa_hcd	FTMS + c ESI d sa Full ms2 659.8361@etd121.47 659.8361@hcd30.00 [100.0000-1330.0000]	2.562
706505	35	Predicted	40.970	0.295	30000	1	26	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	408000.1	-0.017	sa_cid	FTMS + c ESI d sa Full ms2 659.8361@etd121.47 659.8361@cid30.00 [100.0000-1330.0000]	2.562
706505	36	On	0.365	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723723.791600	-151810960.431948	-6.75	-0.17	-0.17	708717.8	-0.034		FTMS + p ESI Full ms [350.0000-2000.0000]	2.562
706505	37	Predicted	0.409	0.199	30000	1	23	0	3	-25.99	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	700364.6	0.022	hcd	FTMS + c ESI d Full ms2 432.8998@hcd30.00 [100.0000-1309.0000]	2.562
706505	38	Predicted	0.426	0.135	30000	1	23	0	3	-26.01	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	491403.8	0.036	hcd	FTMS + c ESI d Full ms2 433.9020@hcd30.00 [100.0000-1312.0000]	2.562
706505	39	Predicted	9.393	0.251	30000	1	23	0	2	-35.71	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	827971.5	0.036	hcd	FTMS + c ESI d Full ms2 648.8460@hcd30.00 [100.0000-1308.0000]	2.562
706505	40	Predicted	0.463	0.223	30000	1	37	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	648890.4	0.011	etd	FTMS + c ESI d Full ms2 432.8998@etd53.99 [100.0000-1309.0000]	2.562
706505	41	Predicted	0.439	0.180	30000	1	37	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	591098.7	0.017	sa_hcd	FTMS + c ESI d sa Full ms2 432.8998@etd53.99 432.8998@hcd30.00 [100.0000-1309.0000]	2.562
706505	42	Predicted	0.439	0.197	30000	1	37	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	381551.9	0.004	sa_cid	FTMS + c ESI d sa Full ms2 432.8998@etd53.99 432.8998@cid30.00 [100.0000-1309.0000]	2.562
706505	43	Predicted	0.488	0.177	30000	1	38	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	388632.6	-0.014	etd	FTMS + c ESI d Full ms2 433.9020@etd53.99 [100.0000-1312.0000]	2.562
706505	44	Predicted	0.450	0.180	30000	1	38	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	400083.0	-0.060	sa_hcd	FTMS + c ESI d sa Full ms2 433.9020@etd53.99 433.9020@hcd30.00 [100.0000-1312.0000]	2.562
706505	45	Predicted	0.450	0.198	30000	1	38	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	381988.7	-0.059	sa_cid	FTMS + c ESI d sa Full ms2 433.9020@etd53.99 433.9020@cid30.00 [100.0000-1312.0000]	2.562
706505	46	Predicted	13.132	0.257	30000	1	39	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	567388.6	-0.017	etd	FTMS + c ESI d Full ms2 648.8460@etd121.47 [100.0000-1308.0000]	2.562
706505	47	Predicted	11.979	0.259	30000	1	39	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	587650.9	0.020	sa_hcd	FTMS + c ESI d sa Full ms2 648.8460@etd121.47 648.8460@hcd30.00 [100.0000-1308.0000]	2.562
706505	48	Predicted	11.979	0.266	30000	1	39	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	626361.4	-0.014	sa_cid	FTMS + c ESI d sa Full ms2 648.8460@etd121.47 648.8460@cid30.00 [100.0000-1308.0000]	2.562
706505	49	Predicted	12.634	0.135	30000	1	23	0	2	-35.76	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	720926.7	0.039	hcd	FTMS + c ESI d Full ms2 649.8489@hcd30.00 [100.0000-1310.0000]	2.562
706505	50	Predicted	44.978	0.135	30000	1	23	0	2	-32.55	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	827033.8	0.036	hcd	FTMS + c ESI d Full ms2 583.2986@hcd30.00 [100.0000-1177.0000]	2.562
706505	51	Predicted	20.339	0.264	30000	1	49	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	563846.9	-0.021	etd	FTMS + c ESI d Full ms2 649.8489@etd121.47 [100.0000-1310.0000]	2.562
706505	52	Predicted	17.309	0.264	30000	1	49	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	557978.9	0.015	sa_hcd	FTMS + c ESI d sa Full ms2 649.8489@etd121.47 649.8489@hcd30.00 [100.0000-1310.0000]	2.562
706505	53	Predicted	17.309	0.271	30000	1	49	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	529458.1	0	sa_cid	FTMS + c ESI d sa Full ms2 649.8489@etd121.47 649.8489@cid30.00 [100.0000-1310.0000]	2.562
706505	54	Predicted	35.027	0.279	30000	1	50	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	417480.4	0.005	etd	FTMS + c ESI d Full ms2 583.2986@etd121.47 [100.0000-1177.0000]	2.562
706505	55	Predicted	32.005	0.279	30000	1	50	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	395813.6	-0.028	sa_hcd	FTMS + c ESI d sa Full ms2 583.2986@etd121.47 583.2986@hcd30.00 [100.0000-1177.0000]	2.562
706505	56	Predicted	32.005	0.286	30000	1	50	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	396927.6	0	sa_cid	FTMS + c ESI d sa Full ms2 583.2986@etd121.47 583.2986@cid30.00 [100.0000-1177.0000]	2.562
706505	57	On	0.241	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723741.091194	-151810985.240845	-6.75	-0.13	-0.17	511088.3	-0.035		FTMS + p ESI Full ms [350.0000-2000.0000]	2.569
706505	58	Predicted	0.439	0.199	30000	1	36	0	3	-25.99	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	786166.8	0.030	hcd	FTMS + c ESI d Full ms2 432.8997@hcd30.00 [100.0000-1309.0000]	2.569
706505	59	Predicted	0.450	0.135	30000	1	36	0	3	-26.01	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	494872.8	0.047	hcd	FTMS + c ESI d Full ms2 433.9021@hcd30.00 [100.0000-1312.0000]	2.569
706505	60	Predicted	11.979	0.263	30000	1	36	0	2	-35.71	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	966422.6	0.023	hcd	FTMS + c ESI d Full ms2 648.8459@hcd30.00 [100.0000-1308.0000]	2.569
706505	61	Predicted	0.407	0.232	30000	1	58	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	650651.6	0.010	etd	FTMS + c ESI d Full ms2 432.8997@etd53.99 [100.0000-1309.0000]	2.569
706505	62	Predicted	0.386	0.180	30000	1	58	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	471472.7	-0.008	sa_hcd	FTMS + c ESI d sa Full ms2 432.8997@etd53.99 432.8997@hcd30.00 [100.0000-1309.0000]	2.569
706505	63	Predicted	0.386	0.197	30000	1	58	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	417593.4	-0.006	sa_cid	FTMS + c ESI d sa Full ms2 432.8997@etd53.99 432.8997@cid30.00 [100.0000-1309.0000]	2.569
706505	64	Predicted	0.435	0.177	30000	1	59	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	307560.1	-0.024	etd	FTMS + c ESI d Full ms2 433.9021@etd53.99 [100.0000-1312.0000]	2.569
706505	65	Predicted	0.399	0.180	30000	1	59	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	382271.5	-0.064	sa_hcd	FTMS + c ESI d sa Full ms2 433.9021@etd53.99 433.9021@hcd30.00 [100.0000-1312.0000]	2.569
706505	66	Predicted	0.399	0.197	30000	1	59	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	372648.4	-0.042	sa_cid	FTMS + c ESI d sa Full ms2 433.9021@etd53.99 433.9021@cid30.00 [100.0000-1312.0000]	2.569
706505	67	Predicted	10.351	0.254	30000	1	60	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	472537.1	-0.017	etd	FTMS + c ESI d Full ms2 648.8459@etd121.47 [100.0000-1308.0000]	2.569
706505	68	Predicted	9.427	0.257	30000	1	60	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	467772.1	0.012	sa_hcd	FTMS + c ESI d sa Full ms2 648.8459@etd121.47 648.8459@hcd30.00 [100.0000-1308.0000]	2.569
706505	69	Predicted	9.427	0.263	30000	1	60	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	471497.2	-0.014	sa_cid	FTMS + c ESI d sa Full ms2 648.8459@etd121.47 648.8459@cid30.00 [100.0000-1308.0000]	2.569
706505	70	Predicted	32.005	0.135	30000	1	36	0	2	-32.55	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	595907.1	-0.013	hcd	FTMS + c ESI d Full ms2 583.2989@hcd30.00 [100.0000-1177.0000]	2.562
706505	71	Predicted	17.309	0.135	30000	1	36	0	2	-35.76	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	930486.6	0.031	hcd	FTMS + c ESI d Full ms2 649.8489@hcd30.00 [100.0000-1310.0000]	2.562
706505	72	Predicted	28.587	0.272	30000	1	70	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	332820.2	-0.001	etd	FTMS + c ESI d Full ms2 583.2989@etd121.47 [100.0000-1177.0000]	2.562
706505	73	Predicted	26.399	0.273	30000	1	70	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	320532.8	-0.046	sa_hcd	FTMS + c ESI d sa Full ms2 583.2989@etd121.47 583.2989@hcd30.00 [100.0000-1177.0000]	2.562
706505	74	Predicted	26.399	0.280	30000	1	70	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	317674.4	0.016	sa_cid	FTMS + c ESI d sa Full ms2 583.2989@etd121.47 583.2989@cid30.00 [100.0000-1177.0000]	2.562
706505	75	Predicted	16.448	0.261	30000	1	71	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	486281.1	-0.047	etd	FTMS + c ESI d Full ms2 649.8489@etd121.47 [100.0000-1310.0000]	2.562
706505	76	Predicted	11.612	0.258	30000	1	71	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	401552.9	0.005	sa_hcd	FTMS + c ESI d sa Full ms2 649.8489@etd121.47 649.8489@hcd30.00 [100.0000-1310.0000]	2.562
706505	77	Predicted	11.612	0.265	30000	1	71	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	365934.7	-0.021	sa_cid	FTMS + c ESI d sa Full ms2 649.8489@etd121.47 649.8489@cid30.00 [100.0000-1310.0000]	2.562
706505	78	On	0.332	0.147	60000	0	-1	-1.0000	0	-1.00	-1.00	211723727.321403	-151810965.493759	-6.75	-0.17	-0.17	646506.4	-0.017		FTMS + p ESI Full ms [350.0000-2000.0000]	2.562
706505	79	Predicted	0.386	0.199	30000	1	57	0	3	-25.99	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	621667.5	0.038	hcd	FTMS + c ESI d Full ms2 432.8997@hcd30.00 [100.0000-1309.0000]	2.562
706505	80	Predicted	0.399	0.134	30000	1	57	0	3	-26.01	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	345760.3	0.030	hcd	FTMS + c ESI d Full ms2 433.9022@hcd30.00 [100.0000-1312.0000]	2.562
706505	81	Predicted	9.427	0.245	30000	1	57	0	2	-35.71	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	842490.6	0.033	hcd	FTMS + c ESI d Full ms2 648.8460@hcd30.00 [100.0000-1308.0000]	2.564
706505	82	Predicted	0.455	0.214	30000	1	79	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	648735.9	-0.004	etd	FTMS + c ESI d Full ms2 432.8997@etd53.99 [100.0000-1309.0000]	2.564
706505	83	Predicted	0.432	0.180	30000	1	79	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	528701.8	-0.021	sa_hcd	FTMS + c ESI d sa Full ms2 432.8997@etd53.99 432.8997@hcd30.00 [100.0000-1309.0000]	2.564
706505	84	Predicted	0.432	0.197	30000	1	79	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	500115.8	-0.013	sa_cid	FTMS + c ESI d sa Full ms2 432.8997@etd53.99 432.8997@cid30.00 [100.0000-1309.0000]	2.564
706505	85	Predicted	0.493	0.177	30000	1	80	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	376291.6	-0.018	etd	FTMS + c ESI d Full ms2 433.9022@etd53.99 [100.0000-1312.0000]	2.564
706505	86	Predicted	0.450	0.180	30000	1	80	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	432978.5	-0.027	sa_hcd	FTMS + c ESI d sa Full ms2 433.9022@etd53.99 433.9022@hcd30.00 [100.0000-1312.0000]	2.564
706505	87	Predicted	0.450	0.197	30000	1	80	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	416000.7	-0.052	sa_cid	FTMS + c ESI d sa Full ms2 433.9022@etd53.99 433.9022@cid30.00 [100.0000-1312.0000]	2.564
706505	88	Predicted	10.076	0.254	30000	1	81	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	451076.8	-0.009	etd	FTMS + c ESI d Full ms2 648.8460@etd121.47 [100.0000-1308.0000]	2.564
706505	89	Predicted	9.255	0.256	30000	1	81	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	444319.1	0.018	sa_hcd	FTMS + c ESI d sa Full ms2 648.8460@etd121.47 648.8460@hcd30.00 [100.0000-1308.0000]	2.564
706505	90	Predicted	9.255	0.263	30000	1	81	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	463711.8	-0.030	sa_cid	FTMS + c ESI d sa Full ms2 648.8460@etd121.47 648.8460@cid30.00 [100.0000-1308.0000]	2.564
706505	91	Predicted	26.399	0.135	30000	1	57	0	2	-32.55	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	541484.7	0.026	hcd	FTMS + c ESI d Full ms2 583.2989@hcd30.00 [100.0000-1177.0000]	2.564
706505	92	Predicted	11.620	0.134	30000	1	57	0	2	-35.76	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	626025.9	0.052	hcd	FTMS + c ESI d Full ms2 649.8492@hcd30.00 [100.0000-1310.0000]	2.564
706505	93	Predicted	53.102	0.297	30000	1	91	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	578391.1	0.001	etd	FTMS + c ESI d Full ms2 583.2989@etd121.47 [100.0000-1177.0000]	2.564
706505	94	Predicted	41.083	0.288	30000	1	91	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	492742.3	-0.001	sa_hcd	FTMS + c ESI d sa Full ms2 583.2989@etd121.47 583.2989@hcd30.00 [100.0000-1177.0000]	2.569
706505	95	Predicted	41.083	0.295	30000	1	91	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	469442.8	0.001	sa_cid	FTMS + c ESI d sa Full ms2 583.2989@etd121.47 583.2989@cid30.00 [100.0000-1177.0000]	2.569
706505	96	Predicted	17.070	0.261	30000	1	92	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	460278.4	-0.035	etd	FTMS + c ESI d Full ms2 649.8492@etd121.47 [100.0000-1310.0000]	2.569
706505	97	Predicted	15.412	0.262	30000	1	92	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	506826.5	0.014	sa_hcd	FTMS + c ESI d sa Full ms2 649.8492@etd121.47 649.8492@hcd30.00 [100.0000-1310.0000]	2.569
706505	98	Predicted	15.412	0.269	30000	1	92	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	516544.9	0	sa_cid	FTMS + c ESI d sa Full ms2 649.8492@etd121.47 649.8492@cid30.00 [100.0000-1310.0000]	2.569
706505	99	On	0.223	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723742.809089	-151810987.699910	-6.75	-0.13	-0.17	506197.6	-0.017		FTMS + p ESI Full ms [350.0000-2000.0000]	2.569
706505	100	Predicted	0.432	0.199	30000	1	78	0	3	-25.99	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	738901.4	0.032	hcd	FTMS + c ESI d Full ms2 432.8999@hcd30.00 [100.0000-1309.0000]	2.569
706505	101	Predicted	0.450	0.135	30000	1	78	0	3	-26.01	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	513243.8	0.043	hcd	FTMS + c ESI d Full ms2 433.9022@hcd30.00 [100.0000-1312.0000]	2.569
706505	102	Predicted	9.255	0.258	30000	1	78	0	2	-35.71	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	807536.9	0.042	hcd	FTMS + c ESI d Full ms2 648.8461@hcd30.00 [100.0000-1308.0000]	2.569
706505	103	Predicted	0.387	0.215	30000	1	100	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	549074.6	0.020	etd	FTMS + c ESI d Full ms2 432.8999@etd53.99 [100.0000-1309.0000]	2.569
706505	104	Predicted	0.366	0.180	30000	1	100	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	471235.9	-0.013	sa_hcd	FTMS + c ESI d sa Full ms2 432.8999@etd53.99 432.8999@hcd30.00 [100.0000-1309.0000]	2.562
