Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Orbitrap Resolution	Dependency Type	Master Scan Number	Monoisotopic M/Z	Charge State	HCD Energy	MS2 Isolation Width	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	Resolution Comp. (ppm)	RawOvFtT	Injection t0	Collision Mode	Scan Filter Text	Source Pressure
706505	511	Predicted	12.711	0.135	30000	1	477	0	2	-35.76	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	696625.9	0.040	hcd	FTMS + c ESI d Full ms2 649.8488@hcd30.00 [100.0000-1310.0000]	2.558
706505	512	Predicted	18.149	0.135	30000	1	477	0	2	-32.55	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	377265.6	0.032	hcd	FTMS + c ESI d Full ms2 583.2990@hcd30.00 [100.0000-1177.0000]	2.558
706505	513	Predicted	11.297	0.255	30000	1	511	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	343450.1	-0.026	etd	FTMS + c ESI d Full ms2 649.8488@etd121.47 [100.0000-1310.0000]	2.558
706505	514	Predicted	10.284	0.257	30000	1	511	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	350175.7	0.015	sa_hcd	FTMS + c ESI d sa Full ms2 649.8488@etd121.47 649.8488@hcd30.00 [100.0000-1310.0000]	2.558
706505	515	Predicted	10.284	0.264	30000	1	511	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	346194.8	-0.047	sa_cid	FTMS + c ESI d sa Full ms2 649.8488@etd121.47 649.8488@cid30.00 [100.0000-1310.0000]	2.558
706505	516	Predicted	34.121	0.278	30000	1	512	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	393775.3	0.003	etd	FTMS + c ESI d Full ms2 583.2990@etd121.47 [100.0000-1177.0000]	2.558
706505	517	Predicted	29.640	0.277	30000	1	512	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	344465.9	-0.024	sa_hcd	FTMS + c ESI d sa Full ms2 583.2990@etd121.47 583.2990@hcd30.00 [100.0000-1177.0000]	2.558
706505	518	Predicted	29.640	0.284	30000	1	512	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	346905.8	0.017	sa_cid	FTMS + c ESI d sa Full ms2 583.2990@etd121.47 583.2990@cid30.00 [100.0000-1177.0000]	2.558
706505	519	On	0.390	0.147	60000	0	-1	-1.0000	0	-1.00	-1.00	211723713.175865	-151810945.217236	-6.75	-0.20	-0.17	615855.9	-0.011		FTMS + p ESI Full ms [350.0000-2000.0000]	2.555
706505	520	Predicted	0.345	0.199	30000	1	498	0	3	-25.99	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	609370.2	0.041	hcd	FTMS + c ESI d Full ms2 432.8998@hcd30.00 [100.0000-1309.0000]	2.555
