Dataset	ScanNumber	Ion Injection Time (ms)	Elapsed Scan Time (sec)	RawOvFtT	Injection t0	Scan Filter Text
706502	1	7.422	0.195	317726.5	0.017	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	2	8.160	0.196	340775.3	0.037	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	3	5.235	0.193	275270.7	0.012	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	4	5.945	0.194	221428.0	-0.014	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	5	4.864	0.193	239241.5	0.005	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	6	9.105	0.197	350308.2	0.019	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	7	8.280	0.196	335976.5	0.003	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	8	3.537	0.191	151638.1	0.046	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	9	12.719	0.201	507301.3	0.018	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
706502	10	6.694	0.195	271285.5	0.025	FTMS + p ESI Full ms2 325.0000@cid35.00 [150.0000-2000.0000]
